,State,Male ,Female ,Total,Male .1,Female .1,Total.1
0,Andaman & Nicobar Islands,17547,17768,35315,11034,11198,22232
1,Andhra Pradesh,2165879,2032435,4198320,1309000,1229445,2538440
2,Arunachal Pradesh,88695,85828,174523,39439,38352,77791
3,Assam,1792270,1714270,3506540,944482,894428,1838910
4,Bihar,7834139,7183699,15017838,3654434,3076180,6730614
5,Chandigarh,64141,50332,114473,38857,28864,67721
6,Chhattisgarh,1426051,1366390,2792441,830310,796071,1626381
7,Dadra & Nagar Haveli,22677,21183,43860,13014,12029,25043
8,Daman & Diu,12245,9874,22119,6981,5443,12424
9,Delhi,932351,772148,1704499,501072,373164,874236
10,Goa,63815,56872,120687,39187,34258,73445
11,Gujarat,3131580,2676818,5808398,1983836,1612562,3596398
12,Haryana,1417048,1139139,2556187,871900,637313,1509213
13,Himachal Pradesh,310230,277932,588162,187787,166434,354221
14,Jammu and Kashmir,768343,684339,1452682,463187,402469,865656
15,Jharkhand,2094954,1982485,4077439,1053701,959941,2013642
16,Karnataka,2708279,2541403,5249682,1642854,1499687,3142541
17,Kerala,1322468,1264005,2586473,836058,782395,1618453
18,Lakshadweep,2910,3063,5973,1713,2092,3805
19,Madhya Pradesh,4483383,4101956,8585339,2683176,2306242,4989418
20,Maharastra,5436233,4822446,10258679,3289087,2774192,6063279
21,Manipur,135579,128327,263906,62313,58775,121088
22,Meghalaya,197854,190891,388745,85549,82146,167695
23,Mizoram,60221,57932,118153,26366,24827,51193
24,Nagaland,124124,115154,239278,57247,51877,109124
25,Odisha,2024695,1938522,3963217,1207617,1144379,2351996
26,Puducherry,66578,56117,122695,40924,34250,75174
27,Punjab,1361168,1085894,2447062,858821,639245,1498066
28,Rajasthan,4372919,3865172,8238091,2431366,2020487,4451853
29,Sikkim,30017,29096,59113,15131,14408,29539
30,Tamil Nadu,2848615,2686363,5534978,1931547,1775449,3706996
31,Tripura,174325,165492,339817,81625,76730,158355
32,Telangana,1627916,1523895,3151805,1013421,952944,1966370
33,Uttar Pradesh,14594470,12827401,27421871,8197959,6660213,14858172
34,Uttarakhand,595813,527407,1123220,363309,324289,687598
35,West Bengal,4022578,3820520,7843098,2360261,2189648,4549909
